route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name,slug
68S,1,NORMAL_68S_Sutardara To Upper Depot_Up-0840_0,Sutardara To Upper Depot,,0,,2210,,,68/1,2,2,68S - Sutardara To Upper Depot,68s-sutardara-to-upper-depot
9,1,NORMAL_9_Hadapsar Gadital To Uruli Railway Station_Up-1735_0,Hadapsar Gadital To Uruli Railway Station,,0,,2769,,,07-Nov,9,1,9 - Hadapsar Gadital To Uruli Railway Station,9-hadapsar-gadital-to-uruli-railway-station
9,1,NORMAL_9_Uruli Railway Station To Hadapsar Gadital_Down-1855_0,Uruli Railway Station To Hadapsar Gadital,,0,,3005,,,07-Nov,10,2,9 - Uruli Railway Station To Hadapsar Gadital,9-uruli-railway-station-to-hadapsar-gadital
360,1,NORMAL_360_Mhalungegaon To Alandi Via Balewadi_Down-0550_0,Mhalungegaon To Alandi Via Balewadi,,1,,5114,,,360/1,1,1,360 - Mhalungegaon To Alandi Via Balewadi,360-mhalungegaon-to-alandi-via-balewadi
360,1,NORMAL_360_Alandi To Mhalungegaon Via Balewadi_Up-0710_0,Alandi To Mhalungegaon Via Balewadi,,1,,5113,,,360/1,2,2,360 - Alandi To Mhalungegaon Via Balewadi,360-alandi-to-mhalungegaon-via-balewadi
116,1,NORMAL_116_Ma Na Pa To Khadki Bazar_Up-0720_0,Ma Na Pa To Khadki Bazar,,0,,3501,,,116/1,1,1,116 - Ma Na Pa To Khadki Bazar,116-ma-na-pa-to-khadki-bazar
116,1,NORMAL_116_Khadki Bazar To Ma Na Pa_Down-0805_0,Khadki Bazar To Ma Na Pa,,0,,3502,,,116/1,2,2,116 - Khadki Bazar To Ma Na Pa,116-khadki-bazar-to-ma-na-pa
342_85,1,NORMAL_342_Pimpri Depot To Dange Chowk Vai Telco Road_Up-0730_0,Pimpri Depot To Dange Chowk Vai Telco Road,,1,,4272,,,342/1,1,1,342_85 - Pimpri Depot To Dange Chowk Vai Telco Road,342-85-pimpri-depot-to-dange-chowk-vai-telco-road
342_85,1,NORMAL_342_Dange Chowk To Sant Nagar RTO Office Via Telco Road_Up-0815_0,Dange Chowk To Sant Nagar RTO Office Via Telco Road,,1,,4274,,,342/1,2,2,342_85 - Dange Chowk To Sant Nagar RTO Office Via Telco Road,342-85-dange-chowk-to-sant-nagar-rto-office-via-telco-road
342_85,1,NORMAL_342_Sant Nagar RTO Office To Dange Chowk Via Telco Road_Down-0915_0,Sant Nagar RTO Office To Dange Chowk Via Telco Road,,1,,4275,,,342/1,3,3,342_85 - Sant Nagar RTO Office To Dange Chowk Via Telco Road,342-85-sant-nagar-rto-office-to-dange-chowk-via-telco-road
RATRANI3,1,NORMAL_RATRANI3_Hadapsar Gadital To Swargate_Down-2100_0,Hadapsar Gadital To Swargate,,1,,4568,,,RATRANI3/1,1,1,RATRANI3 - Hadapsar Gadital To Swargate,ratrani3-hadapsar-gadital-to-swargate
RATRANI3,1,NORMAL_RATRANI3_Swargate To Hadapsar Gadital_Up-2140_0,Swargate To Hadapsar Gadital,,1,,4567,,,RATRANI3/1,2,2,RATRANI3 - Swargate To Hadapsar Gadital,ratrani3-swargate-to-hadapsar-gadital
RATRANI4,1,NORMAL_RATRANI4_Hadapsar Gadital To Pune station_Up-2120_0,Hadapsar Gadital To Pune station,,1,,4565,,,RATRANI4/1,1,1,RATRANI4 - Hadapsar Gadital To Pune station,ratrani4-hadapsar-gadital-to-pune-station
